"","vegetation.type","myrtaceae","fabaceae","rubiaceae"
"885","Semideciduous",7,60,41
"886","Semideciduous",10,9,40
"887","Semideciduous",4,1,2
"888","Semideciduous",14,60,13
"889","Semideciduous",11,60,13
"890","Semideciduous",14,27,34
"891","Semideciduous",14,38,13
"892","Semideciduous",5,49,13
"893","Semideciduous",13,70,24
"894","Semideciduous",9,70,24
"895","Semideciduous",16,49,13
"896","Semideciduous",18,78,24
"897","Semideciduous",5,38,34
"898","Semideciduous",18,70,13
"899","Semideciduous",18,70,24
"900","Semideciduous",19,6,40
"901","Semideciduous",14,3,34
"902","Semideciduous",17,17,42
"903","Semideciduous",13,38,34
"904","Semideciduous",13,6,24
"905","Semideciduous",20,11,40
"906","Semideciduous",22,10,41
"907","Semideciduous",20,13,41
"908","Semideciduous",19,17,41
"909","Semideciduous",39,29,4
"910","Semideciduous",18,13,40
"911","Semideciduous",24,13,41
"912","Semideciduous",21,8,42
"913","Semideciduous",10,9,34
"914","Semideciduous",16,12,4
"915","Semideciduous",9,8,41
"916","Semideciduous",2,15,34
"917","Semideciduous",9,9,34
"918","Semideciduous",15,13,40
"919","Semideciduous",14,19,42
"920","Semideciduous",13,11,34
"921","Semideciduous",17,12,40
"922","Semideciduous",18,17,42
"923","Semideciduous",2,10,24
"924","Semideciduous",6,10,34
"925","Semideciduous",9,3,24
